subtitle_set_id,asset_id,asset_name
forest_journal_higuys,0,F199.0L.33Fxx.cut
forest_journal_bonvoyage,0,F199.0L.24Fxx.cut
forest_journal_051466,0,F199.0L.45Fxx.cut
forest_journal_051666,0,F199.0L.42Fxx.cut
forest_journal_dream_redtape,0,F199.0L.72Fxx.cut
forest_journal_dream_spider,0,F199.0L.78Fxx.cut
forest_maxscream,0,Max Scream w/Rocks.aiff
bureau_booths_chiefbridge1,0,BurChiefWildLine #1.aiff
bureau_booths_chiefbridge2,0,BurChiefWildLine #2.aiff
bureau_booths_rebelcontrol,0,L105.6L.01Fxx.cut
bureau_booths_hygiene,0,L107.6L.01Fxx.cut
bureau_booths_reception,0,L108.6L.01Fxx.cut
bureau_booths_bridgerepair,0,L110.6L.01Fxx.cut
bureau_booths_mediation,0,L111.6L.01Fxx.cut
bureau_booths_operations,0,L114.2L.01Fxx.cut
bureau_booths_travel,0,L117.2L.01Fxx.cut
bureau_booths_sources,0,L118.2L.01Fxx.cut
bureau_booths_hints,0,L121.2L.03Fxx.cut
bureau_booths_atlas,0,atlas kiosk.aiff
bureau_booths_info,0,L103.0L.02Fxx.cut
bureau_maze_greet,0,L401.2L.03Fxx.cut
bureau_maze_gumball,0,L461.6L.01Fxx.aid
bureau_maze_lounge,0,L420.2L.01Fxx.cut
bureau_maze_psych,0,L425.6L.01Fxx.cut
bureau_maze_ear,0,L443.4L.01Fxx.cut
bureau_maze_eye,0,L459.2L.01Fxx.cut
bureau_maze_shred,0,L454.2L.01Fxx.cut
bureau_maze_middle_deny,0,L400.01Fxx.aid
bureau_maze_middle_deny,0,L416.2L.01Fxx.cut
bureau_maze_middle_deny,0,L427.4L.01Fxx.cut
bureau_maze_photo,0,L414.4L.01Fxx.cut
bureau_maze_photo_groan1,0,L460.6L.01Fxx.aid
bureau_maze_photo_groan2,0,L460.6L.02Fxx.aid
bureau_maze_personnel,0,L431.6L.01Fxx.cut
bureau_maze_end1,0,L448.0L.01Fxx.cut
bureau_maze_end2,0,L448.0L.02Fxx.cut
bureau_maze_greet_nocards,0,L401.2L.02Fxx.cut
bureau_maze_security,0,L437.2L.01Fxx.cut
